SPECIESID,TubeNo,img,Trait,Value
Lasi_flav,9990275,lat4,HindTibia,3.396778585807161
Lasi_flav,9990930,dor3,HindFemur,-2.59667956644918
Lasi_flav,9990930,fro2,HeadLength,-2.6130584381578053
Lasi_flav,9990930,fro3,ScapeLength,-2.6264515876918697
Lasi_flav,9990930,lat2,HindTibia,-2.793837763843853
Lasi_flav,9991324,lat4,WebersLength,3.2906645869145192
Lasi_flav,9991578,dor4,HindFemur,-2.9438936748587228
Lasi_flav,9991938,dor3,MidFemur,5.732362896276325
Lasi_flav,9991966,lat3,MidTibia,3.1131190506505937
Lasi_flav,9991966,lat4,MidTibia,2.576763290264139
Lasi_fuli,9991648,lat1,WebersLength,3.792415790979544
Lasi_fuli,9991915,fro2,InterocularDistance,-3.230054931572568
Lasi_fuli,9992118,dor1,HindFemur,-2.7013854038852103
Lasi_nige,9990179.B,lat1,WebersLength,3.576053971493065
Lasi_nige,9990735,fro2,ScapeLength,-2.6334444967688255
Lasi_nige,9991061,lat1,HindTibia,-3.0562328787793347
Lasi_plat,9990118,lat3,MidTibia,2.9972079291924305
Mani_rubi,9990023,dor3,MesosomaLength,2.773671831244614
Mani_rubi,9990023,dor3,MesosomaWidth,2.6057975480294937
Mani_rubi,9990023,fro1,HeadWidth,2.589513439987664
Mani_rubi,9990023,fro4,HeadLength,3.218680654008145
Mani_rubi,9990048,fro3,ScapeLength,-2.6087956919002804
Mani_rubi,9990059,lat2,HindTibia,2.6279634505143727
Mani_rubi,9990508,lat2,HindTibia,5.513271129867806
Mani_rubi,9992341,dor2,MesosomaWidth,-2.7012630692891237
Mani_rubi,9992341,dor2,MidFemur,-3.424056664329462
